track_album_name,valence,energy,danceability,tempo,loudness,cluster
Die With A Smile,0.5278880300814706,0.5931040150411205,0.5022280186936202,0.5680145346128762,0.8158422256869218,2
HIT ME HARD AND SOFT,0.42657196574054723,0.5079164319832271,0.7478534941854146,0.2937254780169157,0.7673679308320005,0
The Secret of Us (Deluxe),0.3576352621683726,0.8095806966941206,0.5380936854689707,0.3122043127633363,0.8888978881082068,2
Short n' Sweet,0.790056402757468,0.9118057963635927,0.6641669383762634,0.33507251778005526,0.8909024642112298,3
APT.,0.9498642155838728,0.7845255252065048,0.7804586457993696,0.5217294532956509,0.8826614291210239,3
"Good Luck, Babe!",0.7890119072487988,0.5830819464460743,0.6967720899902183,0.3544623539033304,0.8526332840626076,3
Diet Pepsi,0.8475036557342802,0.5620356023964771,0.6630800999891315,0.5271229955381638,0.8409297993399074,3
HIT ME HARD AND SOFT,0.10068936703572173,0.24734264851202348,0.4435387457885012,0.5169363437787924,0.7302933970478063,0
Sailor Song,0.27929809901817415,0.41671560776830574,0.4707097054667971,0.24169487665248407,0.7619414015834127,0
Timeless,0.5644453728848965,0.7233909067767224,0.7717639387023149,0.3713417600960693,0.8622511997084255,3
Guess featuring Billie Eilish,0.6145811573010235,0.6682695295039678,0.7793718074122378,0.42334130459538083,0.8392289468888575,3
Please Please Please,0.5738458324629203,0.5870907738840928,0.6630800999891315,0.3045591477996212,0.8503452325510763,3
2 hands,0.5822017965322748,0.8075762829751113,0.5967829583740897,0.28882884561632355,0.9035981128637092,3
A Bar Song (Tipsy),0.5999582201796532,0.7103622176031622,0.7206825345071187,0.1696740064391234,0.8730840099621359,3
The Rise and Fall of a Midwest Princess,0.9686651347399204,0.7584681468593844,0.7424193022497554,0.4749112291271986,0.8724563144147246,3
Disease,0.492375182786714,0.9188212443801251,0.5467883925660254,0.27306748656790586,0.9172656772025028,2
Moonlit Floor (Kiss Me),0.6709839147691664,0.7885343526445233,0.7337245951527007,0.31940432932699775,0.8933120051835505,3
Love Somebody,0.7482765824106955,0.8446579367767825,0.6087381806325398,0.38216507759040136,0.8650252090631139,3
The Secret of Us,0.32212241487361604,0.4066935391732595,0.5120095641778067,0.35046637059121927,0.8213092514224392,0
Move,0.6532274911217881,0.7835233183470002,0.7261167264427779,0.37144010683561607,0.8006155466013325,3
